Term (English),Norsk oversettelse,Kategori,Pronunciation (IPA),Definition (English),Example sentence,Norsk definisjon
Avalanche gallery,Snøoverbygg / galleritunnel,Veiinfrastruktur & konstruksjon,/ˈævəlɑːntʃ ˈɡæləri/,A covered structure built over a road to protect it from snow avalanches and rockfall while maintaining the road corridor.,The avalanche gallery along the Esefjorden road was designed to shield traffic during the spring melt season.,Begrep innen vei‑ og anleggsteknikk som beskriver «avalanche gallery» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Retaining wall,Støttemur,Veiinfrastruktur & konstruksjon,/rɪˈteɪnɪŋ wɔːl/,A structure built to hold back soil or rock and prevent it from sliding onto the road.,The retaining wall stabilized the cut slope and reduced maintenance costs along the mountain road.,Begrep innen vei‑ og anleggsteknikk som beskriver «retaining wall» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Embankment,Fylling / jordvoll,Veiinfrastruktur & konstruksjon,/ɪmˈbæŋkmənt/,A raised bank of earth or gravel constructed to carry a road above the surrounding ground level.,The road embankment crossed the wetland area without disrupting the natural drainage patterns.,Begrep innen vei‑ og anleggsteknikk som beskriver «embankment» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Culvert,Stikkrenne,Veiinfrastruktur & konstruksjon,/ˈkʌlvərt/,A tunnel or pipe that allows water to flow under a road or embankment.,Undersized culverts were identified as a factor contributing to road flooding during heavy rainfall events.,Begrep innen vei‑ og anleggsteknikk som beskriver «culvert» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Guardrail,Rekkverk / veirekkverk,Veiinfrastruktur & konstruksjon,/ˈɡɑːdreɪl/,A metal barrier installed along the edge of a road to prevent vehicles from leaving the carriageway.,Guardrails along the fjord road were upgraded to meet current safety standards.,Begrep innen vei‑ og anleggsteknikk som beskriver «guardrail» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Bridge abutment,Brukar,Veiinfrastruktur & konstruksjon,/brɪdʒ əˈbjuːtmənt/,The end support of a bridge that transfers loads from the bridge deck to the ground.,The bridge abutment was founded on bedrock to ensure long-term stability in the glaciofluvial deposit area.,Begrep innen vei‑ og anleggsteknikk som beskriver «bridge abutment» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Road alignment,Linjeføring,Veiinfrastruktur & konstruksjon,/roʊd əˈlaɪnmənt/,The horizontal and vertical geometry that defines the course and grade of a road through the landscape.,The road alignment followed the natural contours of the fjord shoreline to minimize earthworks.,Begrep innen vei‑ og anleggsteknikk som beskriver «road alignment» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Cut slope,Skjæring,Veiinfrastruktur & konstruksjon,/kʌt sloʊp/,An excavated slope created when a road is cut into hillside terrain.,The cut slope exposed unstable moraine material that required netting and anchoring.,Begrep innen vei‑ og anleggsteknikk som beskriver «cut slope» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Drainage,Drenering / avrenning,Veiinfrastruktur & konstruksjon,/ˈdreɪnɪdʒ/,The system of channels and structures designed to remove surface and subsurface water from a road.,Adequate drainage design is critical on steep terrain to prevent subsurface erosion under the road base.,Begrep innen vei‑ og anleggsteknikk som beskriver «drainage» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Road corridor,Veikorridor,Veiinfrastruktur & konstruksjon,/roʊd ˈkɒrɪdɔː/,The strip of land encompassing the road and its immediate surroundings including all associated infrastructure.,The road corridor through the valley has shaped settlement patterns for over a century.,Begrep innen vei‑ og anleggsteknikk som beskriver «road corridor» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Clearance,Frihøyde / klaring,Veiinfrastruktur & konstruksjon,/ˈklɪərəns/,The minimum vertical or horizontal distance between the road surface and an overhead or adjacent obstacle.,The gallery structure must maintain a minimum clearance of 4.5 metres for heavy vehicles.,Begrep innen vei‑ og anleggsteknikk som beskriver «clearance» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Fill slope,Fyllingsskråning,Veiinfrastruktur & konstruksjon,/fɪl sloʊp/,The inclined surface of an embankment where fill material has been placed to bring the road to grade.,The fill slope was revegetated with native grass species to aid visual integration into the landscape.,Begrep innen vei‑ og anleggsteknikk som beskriver «fill slope» som en konstruksjon eller teknisk løsning brukt i infrastruktur og landskap.
Slush avalanche,Sørpeskred,Ras; skred & naturfare,/slʌʃ ˈævəlɑːntʃ/,A mass movement of water-saturated snow and slush that flows rapidly down a slope; typically occurring during rapid snowmelt.,The Esefjorden road is threatened by slush avalanches that descend the steep gullies above the shoreline.,"Geomorfologisk begrep som beskriver «slush avalanche» som en terrengform, geologisk prosess eller landskapselement."
Debris flow,Jordstrøm / flomskred,Ras; skred & naturfare,/ˈdebriː floʊ/,A fast-moving mixture of water; soil; and rock fragments that flows down a channel or slope.,The debris flow deposit at the road crossing measured several metres in depth after the autumn storm.,"Geomorfologisk begrep som beskriver «debris flow» som en terrengform, geologisk prosess eller landskapselement."
Rockfall,Steinsprang,Ras; skred & naturfare,/ˈrɒkfɔːl/,The rapid descent of individual rocks or rock fragments from a cliff or steep slope.,Rockfall from the exposed cliff face above prompted the installation of a protective net structure.,"Geomorfologisk begrep som beskriver «rockfall» som en terrengform, geologisk prosess eller landskapselement."
Snow avalanche,Snøskred,Ras; skred & naturfare,/snoʊ ˈævəlɑːntʃ/,A rapid flow of snow down a mountainside triggered by gravitational failure of the snowpack.,The snow avalanche ran out across the road and deposited a three-metre-deep snow cone.,"Geomorfologisk begrep som beskriver «snow avalanche» som en terrengform, geologisk prosess eller landskapselement."
Landslide,Jordskred / ras,Ras; skred & naturfare,/ˈlændslaɪd/,The movement of a mass of rock; earth; or debris down a slope under the influence of gravity.,The landslide closed the coastal road for three weeks and prompted a full geotechnical reassessment.,"Geomorfologisk begrep som beskriver «landslide» som en terrengform, geologisk prosess eller landskapselement."
Runout zone,Utløpsområde,Ras; skred & naturfare,/ˈrʌnaʊt zoʊn/,The area at the base of a slope where avalanche or debris flow material comes to rest.,The road passes directly through the runout zone of the documented avalanche path.,"Geomorfologisk begrep som beskriver «runout zone» som en terrengform, geologisk prosess eller landskapselement."
Hazard mapping,Faresonekartlegging,Ras; skred & naturfare,/ˈhæzəd ˈmæpɪŋ/,The process of delineating geographic zones according to the likelihood and intensity of natural hazard events.,Updated hazard mapping was required before the planning authority would approve the road protection scheme.,"Geomorfologisk begrep som beskriver «hazard mapping» som en terrengform, geologisk prosess eller landskapselement."
Mitigation,Risikoreduksjon / sikringstiltak,Ras; skred & naturfare,/ˌmɪtɪˈɡeɪʃən/,Actions taken to reduce the severity; likelihood; or consequences of a natural hazard.,The mitigation strategy combined a deflection berm with a protective gallery to address both rockfall and avalanche risk.,"Geomorfologisk begrep som beskriver «mitigation» som en terrengform, geologisk prosess eller landskapselement."
Return period,Gjentaksintervall,Ras; skred & naturfare,/rɪˈtɜːn ˈpɪəriəd/,The average time between occurrences of a hazard event of a given magnitude; expressed in years.,The design standard required protection against events with a 1000-year return period on this class of road.,"Geomorfologisk begrep som beskriver «return period» som en terrengform, geologisk prosess eller landskapselement."
Susceptibility,Faregrad / mottakelighet,Ras; skred & naturfare,/səˌseptɪˈbɪlɪti/,The likelihood of an area being affected by a particular hazard based on terrain and environmental factors.,High susceptibility to slush avalanches was identified across the entire gully system above the fjord road.,"Geomorfologisk begrep som beskriver «susceptibility» som en terrengform, geologisk prosess eller landskapselement."
Trigger zone,Utløsningsområde / løsneområde,Ras; skred & naturfare,/ˈtrɪɡər zoʊn/,The area on a slope where a mass movement event initiates; typically characterised by steep gradients and unstable material.,Rapid snowmelt saturates the trigger zone and increases the probability of slush avalanche release.,"Geomorfologisk begrep som beskriver «trigger zone» som en terrengform, geologisk prosess eller landskapselement."
Deposition,Avsetning,Ras; skred & naturfare,/ˌdepəˈzɪʃən/,The process by which material transported by a mass movement comes to rest in a lower-energy zone.,Repeated deposition events on the road surface indicated an active and unmitigated debris flow path.,"Geomorfologisk begrep som beskriver «deposition» som en terrengform, geologisk prosess eller landskapselement."
Bearing capacity,Bæreevne,Geoteknikk & terreng,/ˈbeərɪŋ kəˈpæsɪti/,The maximum load a soil or rock mass can support without shear failure or excessive settlement.,Low bearing capacity in the soft marine clay required ground improvement before the bridge piers could be founded.,"Geomorfologisk begrep som beskriver «bearing capacity» som en terrengform, geologisk prosess eller landskapselement."
Slope stability,Skråningsstabilitet,Geoteknikk & terreng,/sloʊp stəˈbɪlɪti/,The resistance of an inclined soil or rock mass to failure by sliding; toppling; or flowing.,Slope stability analysis showed that the factor of safety dropped below 1.0 under saturated conditions.,"Geomorfologisk begrep som beskriver «slope stability» som en terrengform, geologisk prosess eller landskapselement."
Shear strength,Skjærfasthet,Geoteknikk & terreng,/ʃɪər streŋθ/,The maximum resistance of a material to shear stress; a key parameter in assessing whether a slope will fail.,Laboratory testing revealed low residual shear strength in the clay-rich failure surface.,"Geomorfologisk begrep som beskriver «shear strength» som en terrengform, geologisk prosess eller landskapselement."
Groundwater table,Grunnvannstand / grunnvannsnivå,Geoteknikk & terreng,/ˈɡraʊndwɔːtər ˈteɪbəl/,The upper surface of the saturated zone within the soil or rock; where pore water pressure equals atmospheric pressure.,A rise in the groundwater table during snowmelt was identified as the primary destabilising factor.,"Geomorfologisk begrep som beskriver «groundwater table» som en terrengform, geologisk prosess eller landskapselement."
Sediment,Sediment / løsmasse,Geoteknikk & terreng,/ˈsedɪmənt/,Solid material that has been transported and deposited by water; wind; ice; or gravity.,Marine sediment samples from the fjord confirmed the presence of quick clay at depth.,"Geomorfologisk begrep som beskriver «sediment» som en terrengform, geologisk prosess eller landskapselement."
Bedrock,Fjell / berggrunn,Geoteknikk & terreng,/ˈbedrɒk/,The solid rock that underlies loose surface material (soil; sediment) and forms the structural foundation of the terrain.,The borehole reached bedrock at 12 metres below ground level; confirming suitable foundation conditions.,"Geomorfologisk begrep som beskriver «bedrock» som en terrengform, geologisk prosess eller landskapselement."
Erosion,Erosjon,Geoteknikk & terreng,/ɪˈroʊʒən/,The process by which soil; rock; or material is worn away and transported by water; wind; or ice.,Surface erosion on the unvegetated cut slope was accelerating due to concentrated runoff.,"Geomorfologisk begrep som beskriver «erosion» som en terrengform, geologisk prosess eller landskapselement."
Geotechnical investigation,Geoteknisk undersøkelse,Geoteknikk & terreng,/ˌdʒiːəʊˈteknɪkəl ɪnˌvestɪˈɡeɪʃən/,A systematic field and laboratory study of soil and rock conditions at a site to inform engineering design.,The geotechnical investigation included borehole drilling; cone penetration tests; and laboratory analysis of recovered samples.,"Geomorfologisk begrep som beskriver «geotechnical investigation» som en terrengform, geologisk prosess eller landskapselement."
Pore pressure,Poretrykk,Geoteknikk & terreng,/pɔː ˈpreʃər/,The pressure of water within the pore spaces of a soil or rock mass; high pore pressures reduce effective stress and can trigger failure.,Elevated pore pressures following intense rainfall were recorded by the installed piezometers.,"Geomorfologisk begrep som beskriver «pore pressure» som en terrengform, geologisk prosess eller landskapselement."
Soil profile,Jordprofil,Geoteknikk & terreng,/sɔɪl ˈproʊfaɪl/,A vertical cross-section through the soil showing the sequence of layers (horizons) from the surface to bedrock.,The soil profile revealed a thin layer of organic topsoil overlying coarse moraine deposits.,"Geomorfologisk begrep som beskriver «soil profile» som en terrengform, geologisk prosess eller landskapselement."
